Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Emotion
74,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_ANG_XX.wav,1002_IOM_ANG_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Anger
75,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_DIS_XX.wav,1002_IOM_DIS_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Disgust
76,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_FEA_XX.wav,1002_IOM_FEA_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Fear
77,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_HAP_XX.wav,1002_IOM_HAP_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Happy
78,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_NEU_XX.wav,1002_IOM_NEU_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Neutral
79,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_SAD_XX.wav,1002_IOM_SAD_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Sad
80,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_ANG_XX.wav,1002_ITH_ANG_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Anger
81,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_DIS_XX.wav,1002_ITH_DIS_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Disgust
82,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_FEA_XX.wav,1002_ITH_FEA_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Fear
83,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_HAP_XX.wav,1002_ITH_HAP_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Happy
84,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_NEU_XX.wav,1002_ITH_NEU_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Neutral
85,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_SAD_XX.wav,1002_ITH_SAD_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Sad
86,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_ANG_XX.wav,1002_ITS_ANG_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Anger
87,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_DIS_XX.wav,1002_ITS_DIS_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Disgust
88,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_FEA_XX.wav,1002_ITS_FEA_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Fear
89,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_HAP_XX.wav,1002_ITS_HAP_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Happy
90,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_NEU_XX.wav,1002_ITS_NEU_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Neutral
91,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_SAD_XX.wav,1002_ITS_SAD_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Sad
92,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_ANG_XX.wav,1002_IWL_ANG_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Anger
93,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_DIS_XX.wav,1002_IWL_DIS_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Disgust
94,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_FEA_XX.wav,1002_IWL_FEA_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Fear
95,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_HAP_XX.wav,1002_IWL_HAP_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Happy
96,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_NEU_XX.wav,1002_IWL_NEU_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Neutral
97,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_SAD_XX.wav,1002_IWL_SAD_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Sad
98,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_ANG_XX.wav,1002_IWW_ANG_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,21,Anger
99,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_DIS_XX.wav,1002_IWW_DIS_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,21,Disgust
100,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_FEA_XX.wav,1002_IWW_FEA_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,21,Fear
101,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_HAP_XX.wav,1002_IWW_HAP_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,21,Happy
102,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_NEU_XX.wav,1002_IWW_NEU_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,21,Neutral
103,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWW_SAD_XX.wav,1002_IWW_SAD_XX.wav,.wav,Crema_1002,I wonder what this is about,Female,21,Sad
104,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_ANG_XX.wav,1002_MTI_ANG_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,21,Anger
105,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_DIS_XX.wav,1002_MTI_DIS_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,21,Disgust
106,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_FEA_XX.wav,1002_MTI_FEA_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,21,Fear
107,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_HAP_XX.wav,1002_MTI_HAP_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,21,Happy
108,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_NEU_XX.wav,1002_MTI_NEU_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,21,Neutral
109,CREMA-D,./dataset/crema-d\AudioWAV\1002_MTI_SAD_XX.wav,1002_MTI_SAD_XX.wav,.wav,Crema_1002,Maybe tomorrow it will be cold,Female,21,Sad
110,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_ANG_XX.wav,1002_TAI_ANG_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,21,Anger
111,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_DIS_XX.wav,1002_TAI_DIS_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,21,Disgust
112,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_FEA_XX.wav,1002_TAI_FEA_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,21,Fear
113,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_HAP_XX.wav,1002_TAI_HAP_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,21,Happy
114,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_NEU_XX.wav,1002_TAI_NEU_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,21,Neutral
115,CREMA-D,./dataset/crema-d\AudioWAV\1002_TAI_SAD_XX.wav,1002_TAI_SAD_XX.wav,.wav,Crema_1002,The airplane is almost full,Female,21,Sad
116,CREMA-D,./dataset/crema-d\AudioWAV\1002_TIE_ANG_XX.wav,1002_TIE_ANG_XX.wav,.wav,Crema_1002,That is exactly what happened,Female,21,Anger
117,CREMA-D,./dataset/crema-d\AudioWAV\1002_TIE_DIS_XX.wav,1002_TIE_DIS_XX.wav,.wav,Crema_1002,That is exactly what happened,Female,21,Disgust
118,CREMA-D,./dataset/crema-d\AudioWAV\1002_TIE_FEA_XX.wav,1002_TIE_FEA_XX.wav,.wav,Crema_1002,That is exactly what happened,Female,21,Fear
119,CREMA-D,./dataset/crema-d\AudioWAV\1002_TIE_HAP_XX.wav,1002_TIE_HAP_XX.wav,.wav,Crema_1002,That is exactly what happened,Female,21,Happy
120,CREMA-D,./dataset/crema-d\AudioWAV\1002_TIE_SAD_XX.wav,1002_TIE_SAD_XX.wav,.wav,Crema_1002,That is exactly what happened,Female,21,Sad
121,CREMA-D,./dataset/crema-d\AudioWAV\1002_TSI_ANG_XX.wav,1002_TSI_ANG_XX.wav,.wav,Crema_1002,The surface is slick,Female,21,Anger
122,CREMA-D,./dataset/crema-d\AudioWAV\1002_TSI_DIS_XX.wav,1002_TSI_DIS_XX.wav,.wav,Crema_1002,The surface is slick,Female,21,Disgust
123,CREMA-D,./dataset/crema-d\AudioWAV\1002_TSI_FEA_XX.wav,1002_TSI_FEA_XX.wav,.wav,Crema_1002,The surface is slick,Female,21,Fear
124,CREMA-D,./dataset/crema-d\AudioWAV\1002_TSI_HAP_XX.wav,1002_TSI_HAP_XX.wav,.wav,Crema_1002,The surface is slick,Female,21,Happy
125,CREMA-D,./dataset/crema-d\AudioWAV\1002_TSI_NEU_XX.wav,1002_TSI_NEU_XX.wav,.wav,Crema_1002,The surface is slick,Female,21,Neutral
126,CREMA-D,./dataset/crema-d\AudioWAV\1002_TSI_SAD_XX.wav,1002_TSI_SAD_XX.wav,.wav,Crema_1002,The surface is slick,Female,21,Sad
127,CREMA-D,./dataset/crema-d\AudioWAV\1002_WSI_ANG_XX.wav,1002_WSI_ANG_XX.wav,.wav,Crema_1002,We'll stop in a couple of minutes,Female,21,Anger
128,CREMA-D,./dataset/crema-d\AudioWAV\1002_WSI_DIS_XX.wav,1002_WSI_DIS_XX.wav,.wav,Crema_1002,We'll stop in a couple of minutes,Female,21,Disgust
129,CREMA-D,./dataset/crema-d\AudioWAV\1002_WSI_FEA_XX.wav,1002_WSI_FEA_XX.wav,.wav,Crema_1002,We'll stop in a couple of minutes,Female,21,Fear
130,CREMA-D,./dataset/crema-d\AudioWAV\1002_WSI_HAP_XX.wav,1002_WSI_HAP_XX.wav,.wav,Crema_1002,We'll stop in a couple of minutes,Female,21,Happy
131,CREMA-D,./dataset/crema-d\AudioWAV\1002_WSI_NEU_XX.wav,1002_WSI_NEU_XX.wav,.wav,Crema_1002,We'll stop in a couple of minutes,Female,21,Neutral
132,CREMA-D,./dataset/crema-d\AudioWAV\1002_WSI_SAD_XX.wav,1002_WSI_SAD_XX.wav,.wav,Crema_1002,We'll stop in a couple of minutes,Female,21,Sad
133,CREMA-D,./dataset/crema-d\AudioWAV\1003_DFA_ANG_XX.wav,1003_DFA_ANG_XX.wav,.wav,Crema_1003,Don't forget a jacket,Female,21,Anger
134,CREMA-D,./dataset/crema-d\AudioWAV\1003_DFA_DIS_XX.wav,1003_DFA_DIS_XX.wav,.wav,Crema_1003,Don't forget a jacket,Female,21,Disgust
135,CREMA-D,./dataset/crema-d\AudioWAV\1003_DFA_FEA_XX.wav,1003_DFA_FEA_XX.wav,.wav,Crema_1003,Don't forget a jacket,Female,21,Fear
136,CREMA-D,./dataset/crema-d\AudioWAV\1003_DFA_HAP_XX.wav,1003_DFA_HAP_XX.wav,.wav,Crema_1003,Don't forget a jacket,Female,21,Happy
137,CREMA-D,./dataset/crema-d\AudioWAV\1003_DFA_NEU_XX.wav,1003_DFA_NEU_XX.wav,.wav,Crema_1003,Don't forget a jacket,Female,21,Neutral
138,CREMA-D,./dataset/crema-d\AudioWAV\1003_DFA_SAD_XX.wav,1003_DFA_SAD_XX.wav,.wav,Crema_1003,Don't forget a jacket,Female,21,Sad
139,CREMA-D,./dataset/crema-d\AudioWAV\1003_IEO_NEU_XX.wav,1003_IEO_NEU_XX.wav,.wav,Crema_1003,It's eleven o'clock,Female,21,Neutral
140,CREMA-D,./dataset/crema-d\AudioWAV\1003_IOM_ANG_XX.wav,1003_IOM_ANG_XX.wav,.wav,Crema_1003,I'm on my way to the meeting,Female,21,Anger
141,CREMA-D,./dataset/crema-d\AudioWAV\1003_IOM_DIS_XX.wav,1003_IOM_DIS_XX.wav,.wav,Crema_1003,I'm on my way to the meeting,Female,21,Disgust
142,CREMA-D,./dataset/crema-d\AudioWAV\1003_IOM_FEA_XX.wav,1003_IOM_FEA_XX.wav,.wav,Crema_1003,I'm on my way to the meeting,Female,21,Fear
143,CREMA-D,./dataset/crema-d\AudioWAV\1003_IOM_HAP_XX.wav,1003_IOM_HAP_XX.wav,.wav,Crema_1003,I'm on my way to the meeting,Female,21,Happy
144,CREMA-D,./dataset/crema-d\AudioWAV\1003_IOM_NEU_XX.wav,1003_IOM_NEU_XX.wav,.wav,Crema_1003,I'm on my way to the meeting,Female,21,Neutral
145,CREMA-D,./dataset/crema-d\AudioWAV\1003_IOM_SAD_XX.wav,1003_IOM_SAD_XX.wav,.wav,Crema_1003,I'm on my way to the meeting,Female,21,Sad
146,CREMA-D,./dataset/crema-d\AudioWAV\1003_ITH_ANG_XX.wav,1003_ITH_ANG_XX.wav,.wav,Crema_1003,I think I have a doctor's appointment,Female,21,Anger
147,CREMA-D,./dataset/crema-d\AudioWAV\1003_ITH_DIS_XX.wav,1003_ITH_DIS_XX.wav,.wav,Crema_1003,I think I have a doctor's appointment,Female,21,Disgust
148,CREMA-D,./dataset/crema-d\AudioWAV\1003_ITH_FEA_XX.wav,1003_ITH_FEA_XX.wav,.wav,Crema_1003,I think I have a doctor's appointment,Female,21,Fear
149,CREMA-D,./dataset/crema-d\AudioWAV\1003_ITH_HAP_XX.wav,1003_ITH_HAP_XX.wav,.wav,Crema_1003,I think I have a doctor's appointment,Female,21,Happy
150,CREMA-D,./dataset/crema-d\AudioWAV\1003_ITH_NEU_XX.wav,1003_ITH_NEU_XX.wav,.wav,Crema_1003,I think I have a doctor's appointment,Female,21,Neutral
151,CREMA-D,./dataset/crema-d\AudioWAV\1003_ITH_SAD_XX.wav,1003_ITH_SAD_XX.wav,.wav,Crema_1003,I think I have a doctor's appointment,Female,21,Sad
